PyTorch APIs,MindSpore APIs,说明
torch.abs,mindspore.mint.abs,一致
torch.acos,mindspore.mint.acos,一致
torch.acosh,mindspore.mint.acosh,一致
torch.add,mindspore.mint.add,一致
torch.addbmm,mindspore.mint.addbmm,一致
torch.addmm,mindspore.mint.addmm,一致
torch.addmv,mindspore.mint.addmv,一致
torch.all,mindspore.mint.all,一致
torch.allclose,mindspore.mint.allclose,一致
torch.amax,mindspore.mint.amax,功能一致，参数dim默认值不同
torch.amin,mindspore.mint.amin,功能一致，参数dim默认值不同
torch.any,mindspore.mint.any,一致
torch.arange,mindspore.mint.arange,功能一致，参数end默认值不同
torch.arccos,mindspore.mint.arccos,一致
torch.arccosh,mindspore.mint.arccosh,一致
torch.arcsin,mindspore.mint.arcsin,功能一致，参数名不一致
torch.arcsinh,mindspore.mint.arcsinh,一致
torch.arctan,mindspore.mint.arctan,一致
torch.arctan2,mindspore.mint.arctan2,一致
torch.arctanh,mindspore.mint.arctanh,一致
torch.argmax,mindspore.mint.argmax,一致
torch.argmin,mindspore.mint.argmin,一致
torch.argsort,mindspore.mint.argsort,一致
torch.asin,mindspore.mint.asin,一致
torch.asinh,mindspore.mint.asinh,一致
torch.atan,mindspore.mint.atan,一致
torch.atan2,mindspore.mint.atan2,一致
torch.atanh,mindspore.mint.atanh,一致
torch.baddbmm,mindspore.mint.baddbmm,一致
torch.bernoulli,mindspore.mint.bernoulli,一致
torch.bincount,mindspore.mint.bincount,一致
torch.bitwise_and,mindspore.mint.bitwise_and,一致
torch.bitwise_or,mindspore.mint.bitwise_or,一致
torch.bitwise_xor,mindspore.mint.bitwise_xor,一致
torch.bmm,mindspore.mint.bmm,一致
torch.broadcast_to,mindspore.mint.broadcast_to,一致
torch.cat,mindspore.mint.cat,一致
torch.cdist,mindspore.mint.cdist,一致
torch.chunk,mindspore.mint.chunk,一致
torch.ceil,mindspore.mint.ceil,一致
torch.clamp,mindspore.mint.clamp,一致
torch.clone,mindspore.mint.clone,一致
torch.concat,mindspore.mint.concat,一致
torch.count_nonzero,mindspore.mint.count_nonzero,一致
torch.cos,mindspore.mint.cos,一致
torch.cosh,mindspore.mint.cosh,一致
torch.cross,mindspore.mint.cross,一致
torch.cummax,mindspore.mint.cummax,一致
torch.cummin,mindspore.mint.cummin,一致
torch.cumprod,mindspore.mint.cumprod,一致
torch.cumsum,mindspore.mint.cumsum,一致
torch.diff,mindspore.mint.diff,一致
torch.div,mindspore.mint.div,一致
torch.divide,mindspore.mint.divide,一致
torch.dot,mindspore.mint.dot,一致
torch.einsum,mindspore.mint.einsum,一致
torch.empty,mindspore.mint.empty,一致
torch.empty_like,mindspore.mint.empty_like,一致
torch.equal,mindspore.mint.equal,一致
torch.eq,mindspore.mint.eq,一致
torch.erf,mindspore.mint.erf,一致
torch.erfc,mindspore.mint.erfc,一致
torch.erfinv,mindspore.mint.erfinv,一致
torch.exp,mindspore.mint.exp,一致
torch.exp2,mindspore.mint.exp2,一致
torch.expm1,mindspore.mint.expm1,一致
torch.eye,mindspore.mint.eye,一致
torch.float_power,mindspore.mint.float_power,一致
torch.flatten,mindspore.mint.flatten,一致
torch.flip,mindspore.mint.flip,一致
torch.floor,mindspore.mint.floor,一致
torch.fmod,mindspore.mint.fmod,一致
torch.frac,mindspore.mint.frac,一致
torch.full,mindspore.mint.full,一致
torch.full_like,mindspore.mint.full_like,一致
torch.gather,mindspore.mint.gather,一致
torch.greater,mindspore.mint.greater,一致
torch.greater_equal,mindspore.mint.greater_equal,一致
torch.gt,mindspore.mint.gt,一致
torch.histc,mindspore.mint.histc,一致
torch.index_select,mindspore.mint.index_select,一致
torch.inverse,mindspore.mint.inverse,一致
torch.isclose,mindspore.mint.isclose,一致
torch.isfinite,mindspore.mint.isfinite,一致
torch.isinf,mindspore.mint.isinf,一致
torch.isneginf,mindspore.mint.isneginf,一致
torch.le,mindspore.mint.le,一致
torch.lerp,mindspore.mint.lerp,一致
torch.less,mindspore.mint.less,一致
torch.less_equal,mindspore.mint.less_equal,一致
torch.linspace,mindspore.mint.linspace,一致
torch.log,mindspore.mint.log,一致
torch.log2,mindspore.mint.log2,一致
torch.log10,mindspore.mint.log10,一致
torch.logaddexp,mindspore.mint.logaddexp,一致
torch.logsumexp,mindspore.mint.logsumexp,一致
torch.log1p,mindspore.mint.log1p,一致
torch.logical_and,mindspore.mint.logical_and,一致
torch.logical_not,mindspore.mint.logical_not,一致
torch.logical_or,mindspore.mint.logical_or,一致
torch.logical_xor,mindspore.mint.logical_xor,一致
torch.lt,mindspore.mint.lt,一致
torch.masked_select,mindspore.mint.masked_select,一致
torch.matmul,mindspore.mint.matmul,一致
torch.max,mindspore.mint.max,一致
torch.maximum,mindspore.mint.maximum,一致
torch.mean,mindspore.mint.mean,一致
torch.median,mindspore.mint.median,功能一致，MindSpore多dim和keepdim两个参数
torch.meshgrid,mindspore.mint.meshgrid,功能一致，参数indexing默认值不同
torch.mul,mindspore.mint.mul,一致
torch.min,mindspore.mint.min,一致
torch.minimum,mindspore.mint.minimum,一致
torch.mm,mindspore.mint.mm,一致
torch.multinomial,mindspore.mint.multinomial,一致
torch.mv,mindspore.mint.mv,一致
torch.nansum,mindspore.mint.nansum,功能一致，参数列表不一致
torch.nan_to_num,mindspore.mint.nan_to_num,一致
torch.narrow,mindspore.mint.narrow,一致
torch.ne,mindspore.mint.ne,一致
torch.neg,mindspore.mint.neg,一致
torch.negative,mindspore.mint.negative,一致
torch.nonzero,mindspore.mint.nonzero,一致
torch.normal,mindspore.mint.normal,接口重载的参数不同
torch.norm,mindspore.mint.norm,一致
torch.ones,mindspore.mint.ones,一致
torch.ones_like,mindspore.mint.ones_like,一致
torch.outer,mindspore.mint.outer,一致
torch.permute,mindspore.mint.permute,一致
torch.polar,mindspore.mint.polar,一致
torch.pow,mindspore.mint.pow,一致
torch.prod,mindspore.mint.prod,一致
torch.rand,mindspore.mint.rand,一致
torch.rand_like,mindspore.mint.rand_like,一致
torch.randint,mindspore.mint.randint,一致
torch.randint_like,mindspore.mint.randint_like,功能一致，参数low默认值不同
torch.randn,mindspore.mint.randn,一致
torch.randn_like,mindspore.mint.randn_like,一致
torch.randperm,mindspore.mint.randperm,一致
torch.ravel,mindspore.mint.ravel,一致
torch.reciprocal,mindspore.mint.reciprocal,一致
torch.remainder,mindspore.mint.remainder,一致
torch.repeat_interleave,mindspore.mint.repeat_interleave,功能一致，PyTorch涉及重载
torch.reshape,mindspore.mint.reshape,一致
torch.roll,mindspore.mint.roll,一致
torch.round,mindspore.mint.round,一致
torch.rsqrt,mindspore.mint.rsqrt,一致
torch.scatter,mindspore.mint.scatter,一致
torch.scatter_add,mindspore.mint.scatter_add,一致
torch.searchsorted,mindspore.mint.searchsorted,功能一致，参数side默认值不同
torch.select,mindspore.mint.select,一致
torch.sigmoid,mindspore.mint.sigmoid,一致
torch.sign,mindspore.mint.sign,一致
torch.sin,mindspore.mint.sin,一致
torch.sinc,mindspore.mint.sinc,一致
torch.sinh,mindspore.mint.sinh,一致
torch.sort,mindspore.mint.sort,一致
torch.split,mindspore.mint.split,一致
torch.sqrt,mindspore.mint.sqrt,一致
torch.square,mindspore.mint.square,一致
torch.squeeze,mindspore.mint.squeeze,一致
torch.stack,mindspore.mint.stack,一致
torch.std,mindspore.mint.std,一致
torch.std_mean,mindspore.mint.std_mean,一致
torch.sub,mindspore.mint.sub,一致
torch.sum,mindspore.mint.sum,一致
torch.swapaxes,mindspore.mint.swapaxes,一致
torch.t,mindspore.mint.t,一致
torch.tan,mindspore.mint.tan,一致
torch.tanh,mindspore.mint.tanh,一致
torch.tile,mindspore.mint.tile,一致
torch.topk,mindspore.mint.topk,功能一致，参数dim默认值不同
torch.trace,mindspore.mint.trace,一致
torch.transpose,mindspore.mint.transpose,一致
torch.tril,mindspore.mint.tril,一致
torch.triu,mindspore.mint.triu,一致
torch.trunc,mindspore.mint.trunc,一致
torch.unbind,mindspore.mint.unbind,一致
torch.unique,mindspore.mint.unique,一致
torch.unique_consecutive,mindspore.mint.unique_consecutive,一致
torch.unsqueeze,mindspore.mint.unsqueeze,一致
torch.var,mindspore.mint.var,一致
torch.var_mean,mindspore.mint.var_mean,一致
torch.where,mindspore.mint.where,一致
torch.xlogy,mindspore.mint.xlogy,一致
torch.zeros,mindspore.mint.zeros,一致
torch.zeros_like,mindspore.mint.zeros_like,一致
torch.linalg.inv,mindspore.mint.linalg.inv,一致
torch.linalg.matrix_norm,mindspore.mint.linalg.matrix_norm,一致
torch.linalg.norm,mindspore.mint.linalg.norm,一致
torch.linalg.vector_norm,mindspore.mint.linalg.vector_norm,一致
torch.distributed.P2POp,mindspore.mint.distributed.P2POp,一致
torch.distributed.all_gather,mindspore.mint.distributed.all_gather,一致
torch.distributed.all_gather_into_tensor,mindspore.mint.distributed.all_gather_into_tensor,一致
torch.distributed.all_gather_object,mindspore.mint.distributed.all_gather_object,一致
torch.distributed.all_reduce,mindspore.mint.distributed.all_reduce,一致
torch.distributed.all_to_all_single,mindspore.mint.distributed.all_to_all_single,一致
torch.distributed.all_to_all,mindspore.mint.distributed.all_to_all,一致
torch.distributed.barrier,mindspore.mint.distributed.barrier,一致
torch.distributed.batch_isend_irecv,mindspore.mint.distributed.batch_isend_irecv,一致
torch.distributed.broadcast,mindspore.mint.distributed.broadcast,一致
torch.distributed.broadcast_object_list,mindspore.mint.distributed.broadcast_object_list,一致
,mindspore.mint.distributed.destroy_process_group,MindSpore独有
torch.distributed.gather,mindspore.mint.distributed.gather,一致
torch.distributed.gather_object,mindspore.mint.distributed.gather_object,一致
torch.distributed.get_backend,mindspore.mint.distributed.get_backend,一致
torch.distributed.get_global_rank,mindspore.mint.distributed.get_global_rank,一致
torch.distributed.get_group_rank,mindspore.mint.distributed.get_group_rank,一致
torch.distributed.get_process_group_ranks,mindspore.mint.distributed.get_process_group_ranks,一致
torch.distributed.get_rank,mindspore.mint.distributed.get_rank,一致
torch.distributed.get_world_size,mindspore.mint.distributed.get_world_size,一致
torch.distributed.init_process_group,mindspore.mint.distributed.init_process_group,功能一致，参数名不一致
torch.distributed.irecv,mindspore.mint.distributed.irecv,一致
torch.distributed.isend,mindspore.mint.distributed.isend,一致
torch.distributed.new_group,mindspore.mint.distributed.new_group,MindSpore多参数group_desc=None
torch.distributed.recv,mindspore.mint.distributed.recv,一致
torch.distributed.reduce,mindspore.mint.distributed.reduce,一致
torch.distributed.reduce_scatter,mindspore.mint.distributed.reduce_scatter,一致
torch.distributed.reduce_scatter_tensor,mindspore.mint.distributed.reduce_scatter_tensor,一致
torch.distributed.scatter,mindspore.mint.distributed.scatter,功能一致，参数scatter_list默认值不同
torch.distributed.scatter_object_list,mindspore.mint.distributed.scatter_object_list,一致
torch.distributed.send,mindspore.mint.distributed.send,一致
torch.nn.AdaptiveAvgPool1d,mindspore.mint.nn.AdaptiveAvgPool1d,一致
torch.nn.AdaptiveAvgPool2d,mindspore.mint.nn.AdaptiveAvgPool2d,一致
torch.nn.AdaptiveAvgPool3d,mindspore.mint.nn.AdaptiveAvgPool3d,一致
torch.nn.AvgPool2d,mindspore.mint.nn.AvgPool2d,一致
torch.nn.BCELoss,mindspore.mint.nn.BCELoss,一致
torch.nn.BCEWithLogitsLoss,mindspore.mint.nn.BCEWithLogitsLoss,一致
torch.nn.BatchNorm1d,mindspore.mint.nn.BatchNorm1d,一致
torch.nn.BatchNorm2d,mindspore.mint.nn.BatchNorm2d,一致
torch.nn.BatchNorm3d,mindspore.mint.nn.BatchNorm3d,一致
torch.nn.ConstantPad1d,mindspore.mint.nn.ConstantPad1d,一致
torch.nn.ConstantPad2d,mindspore.mint.nn.ConstantPad2d,一致
torch.nn.ConstantPad3d,mindspore.mint.nn.ConstantPad3d,一致
torch.nn.Conv2d,mindspore.mint.nn.Conv2d,一致
torch.nn.Conv3d,mindspore.mint.nn.Conv3d,一致
torch.nn.ConvTranspose2d,mindspore.mint.nn.ConvTranspose2d,一致
torch.nn.CrossEntropyLoss,mindspore.mint.nn.CrossEntropyLoss,一致
torch.nn.Dropout,mindspore.mint.nn.Dropout,一致
torch.nn.Dropout2d,mindspore.mint.nn.Dropout2d,功能一致，MindSpore不含参数inplace
torch.nn.ELU,mindspore.mint.nn.ELU,功能一致，MindSpore不含参数inplace
torch.nn.Embedding,mindspore.mint.nn.Embedding,一致
torch.nn.Flatten,mindspore.mint.flatten,一致
torch.nn.Fold,mindspore.mint.nn.Fold,一致
torch.nn.GELU,mindspore.mint.nn.GELU,一致
torch.nn.GroupNorm,mindspore.mint.nn.GroupNorm,一致
torch.nn.Hardshrink,mindspore.mint.nn.Hardshrink,一致
torch.nn.Hardsigmoid,mindspore.mint.nn.Hardsigmoid,一致
torch.nn.Hardswish,mindspore.mint.nn.Hardswish,一致
torch.nn.Identity,mindspore.mint.nn.Identity,一致
torch.nn.L1Loss,mindspore.mint.nn.L1Loss,一致
torch.nn.LayerNorm,mindspore.mint.nn.LayerNorm,一致
torch.nn.Linear,mindspore.mint.nn.Linear,功能一致，MindSpore多weight_init=None和bias_init=None两个参数
torch.nn.LogSigmoid,mindspore.mint.nn.LogSigmoid,一致
torch.nn.LogSoftMax,mindspore.mint.nn.LogSoftmax,一致
torch.nn.MSELoss,mindspore.mint.nn.MSELoss,一致
torch.nn.MaxUnpool2d,mindspore.mint.nn.MaxUnpool2d,一致
torch.nn.Mish,mindspore.mint.nn.Mish,一致
torch.nn.NLLLoss,mindspore.mint.nn.NLLLoss,一致
torch.nn.PReLU,mindspore.mint.nn.PReLU,一致
torch.nn.ReLU,mindspore.mint.nn.ReLU,一致
torch.nn.ReLU6,mindspore.mint.nn.ReLU6,一致
torch.nn.ReflectionPad1d,mindspore.mint.nn.ReflectionPad1d,一致
torch.nn.ReflectionPad2d,mindspore.mint.nn.ReflectionPad2d,一致
torch.nn.ReflectionPad3d,mindspore.mint.nn.ReflectionPad3d,一致
torch.nn.ReplicationPad1d,mindspore.mint.nn.ReplicationPad1d,一致
torch.nn.ReplicationPad2d,mindspore.mint.nn.ReplicationPad2d,一致
torch.nn.ReplicationPad3d,mindspore.mint.nn.ReplicationPad3d,一致
torch.nn.SeLU,mindspore.mint.nn.SELU,一致
torch.nn.SiLU,mindspore.mint.nn.SiLU,一致
torch.nn.SmoothL1Loss,mindspore.mint.nn.SmoothL1Loss,一致
torch.nn.Softmax,mindspore.mint.nn.Softmax,一致
torch.nn.Softshrink,mindspore.mint.nn.Softshrink,一致
torch.nn.SyncBatchNorm,mindspore.mint.nn.SyncBatchNorm,一致
torch.nn.Tanh,mindspore.mint.nn.Tanh,一致
torch.nn.Unfold,mindspore.mint.nn.Unfold,一致
torch.nn.Upsample,mindspore.mint.nn.Upsample,一致
torch.nn.ZeroPad1d,mindspore.mint.nn.ZeroPad1d,一致
torch.nn.ZeroPad2d,mindspore.mint.nn.ZeroPad2d,一致
torch.nn.ZeroPad3d,mindspore.mint.nn.ZeroPad3d,一致
torch.nn.functional.adaptive_avg_pool1d,mindspore.mint.nn.functional.adaptive_avg_pool1d,一致
torch.nn.functional.adaptive_avg_pool2d,mindspore.mint.nn.functional.adaptive_avg_pool2d,一致
torch.nn.functional.avg_pool1d,mindspore.mint.nn.functional.avg_pool1d,一致
torch.nn.functional.avg_pool2d,mindspore.mint.nn.functional.avg_pool2d,一致
torch.nn.functional.batch_norm,mindspore.mint.nn.functional.batch_norm,一致
torch.nn.functional.binary_cross_entropy,mindspore.mint.nn.functional.binary_cross_entropy,一致
torch.nn.functional.binary_cross_entropy_with_logits,mindspore.mint.nn.functional.binary_cross_entropy_with_logits,一致
torch.nn.functional.conv2d,mindspore.mint.nn.functional.conv2d,一致
torch.nn.functional.conv3d,mindspore.mint.nn.functional.conv3d,一致
torch.nn.functional.conv_transpose2d,mindspore.mint.nn.functional.conv_transpose2d,一致
torch.nn.functional.dropout,mindspore.mint.nn.functional.dropout,一致
torch.nn.functional.dropout2d,mindspore.mint.nn.functional.dropout2d,功能一致，MindSpore不含参数inplace
torch.nn.functional.elu,mindspore.mint.nn.functional.elu,功能一致，MindSpore不含参数inplace
torch.nn.functional.embedding,mindspore.mint.nn.functional.embedding,功能一致，MindSpore不含参数sparse
torch.nn.functional.fold,mindspore.mint.nn.functional.fold,一致
torch.nn.functional.gelu,mindspore.mint.nn.functional.gelu,一致
torch.nn.functional.grid_sample,mindspore.mint.nn.functional.grid_sample,功能一致，参数align_corners默认值不同
torch.nn.functional.hardshrink,mindspore.mint.nn.functional.hardshrink,一致
torch.nn.functional.hardsigmoid,mindspore.mint.nn.functional.hardsigmoid,功能一致，MindSpore不含参数inplace
torch.nn.functional.hardswish,mindspore.mint.nn.functional.hardswish,功能一致，MindSpore不含参数inplace
torch.nn.functional.interpolate,mindspore.mint.nn.functional.interpolate,功能一致，MindSpore不含参数antialias
torch.nn.functional.l1_loss,mindspore.mint.nn.functional.l1_loss,一致
torch.nn.functional.leaky_relu,mindspore.mint.nn.functional.leaky_relu,功能一致，MindSpore不含参数inplace
torch.nn.functional.linear,mindspore.mint.nn.functional.linear,一致
torch.nn.functional.log_softmax,mindspore.mint.nn.functional.log_softmax,一致
torch.nn.functional.logsigmoid,mindspore.mint.nn.functional.logsigmoid,一致
torch.nn.functional.max_pool2d,mindspore.mint.nn.functional.max_pool2d,一致
torch.nn.functional.max_unpool2d,mindspore.mint.nn.functional.max_unpool2d,一致
torch.nn.functional.mish,mindspore.mint.nn.functional.mish,功能一致，MindSpore不含参数inplace
torch.nn.functional.mse_loss,mindspore.mint.nn.functional.mse_loss,一致
torch.nn.functional.nll_loss,mindspore.mint.nn.functional.nll_loss,一致
torch.nn.functional.normalize,mindspore.mint.nn.functional.normalize,一致
torch.nn.functional.one_hot,mindspore.mint.nn.functional.one_hot,一致
torch.nn.functional.pad,mindspore.mint.nn.functional.pad,一致
torch.nn.functional.prelu,mindspore.mint.nn.functional.prelu,一致
torch.nn.functional.relu,mindspore.mint.nn.functional.relu,一致
torch.nn.functional.relu6,mindspore.mint.nn.functional.relu6,一致
torch.nn.functional.relu_,mindspore.mint.nn.functional.relu_,一致
torch.nn.functional.selu,mindspore.mint.nn.functional.selu,功能一致，MindSpore不含参数inplace
torch.nn.functional.sigmoid,mindspore.mint.nn.functional.sigmoid,一致
torch.nn.functional.silu,mindspore.mint.nn.functional.silu,功能一致，MindSpore不含参数inplace
torch.nn.functional.smooth_l1_loss,mindspore.mint.nn.functional.smooth_l1_loss,一致
torch.nn.functional.softmax,mindspore.mint.nn.functional.softmax,一致
torch.nn.functional.softplus,mindspore.mint.nn.functional.softplus,一致
torch.nn.functional.softshrink,mindspore.mint.nn.functional.softshrink,一致
torch.nn.functional.tanh,mindspore.mint.nn.functional.tanh,一致
torch.nn.functional.unfold,mindspore.mint.nn.functional.unfold,一致
torch.special.erfc,mindspore.mint.special.erfc,一致
torch.special.exp2,mindspore.mint.special.exp2,一致
torch.special.expm1,mindspore.mint.special.expm1,一致
torch.special.log1p,mindspore.mint.special.log1p,一致
torch.special.log_softmax,mindspore.mint.special.log_softmax,一致
