PyTorch APIs,PaddlePaddle APIs,说明
torch.nn.L1Loss,paddle.nn.L1Loss,功能一致，PyTorch存在废弃参数`size_average`和`reduce`。
torch.nn.MSELoss,paddle.nn.MSELoss,功能一致，PyTorch存在废弃参数`size_average`和`reduce`。
torch.nn.CrossEntropyLoss,paddle.nn.CrossEntropyLoss,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/loss/torch.nn.CrossEntropyLoss.md)
torch.nn.KLDivLoss,paddle.nn.KLDivLoss,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/loss/torch.nn.KLDivLoss.md)
torch.nn.BCELoss,paddle.nn.BCELoss,功能一致，PyTorch存在废弃参数`size_average`和`reduce`。
torch.nn.BCEWithLogitsLoss,paddle.nn.BCEWithLogitsLoss,功能一致，PyTorch存在废弃参数`size_average`和`reduce`。
torch.nn.SmoothL1Loss,paddle.nn.SmoothL1Loss,功能一致，参数名不一致，PyTorch存在废弃参数`size_average`和`reduce`。
torch.nn.Conv1d,paddle.nn.Conv1D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Conv1d.md)
torch.nn.Conv2d,paddle.nn.Conv2D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Conv2d.md)
torch.nn.Conv3d,paddle.nn.Conv3D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Conv3d.md)
torch.nn.ConvTranspose1d,paddle.nn.Conv1DTranspose,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ConvTranspose1d.md)
torch.nn.ConvTranspose2d,paddle.nn.Conv2DTranspose,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ConvTranspose2d.md)
torch.nn.ConvTranspose3d,paddle.nn.Conv3DTranspose,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ConvTranspose3d.md)
torch.nn.Linear,paddle.nn.Linear,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Linear.md)
torch.nn.MaxPool1d,paddle.nn.MaxPool1D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.MaxPool1d.md)
torch.nn.MaxPool2d,paddle.nn.MaxPool2D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.MaxPool2d.md)
torch.nn.MaxPool3d,paddle.nn.MaxPool3D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.MaxPool3d.md)
torch.nn.MaxUnpool1d,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.MaxUnpool1d.md)
torch.nn.MaxUnpool2d,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.MaxUnpool2d.md)
torch.nn.MaxUnpool3d,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.MaxUnpool3d.md)
torch.nn.AvgPool1d,paddle.nn.AvgPool1D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.AvgPool1d.md)
torch.nn.AvgPool2d,paddle.nn.AvgPool2D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.AvgPool2d.md)
torch.nn.AvgPool3d,paddle.nn.AvgPool3D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.AvgPool3d.md)
torch.nn.AdaptiveMaxPool1d,paddle.nn.AdaptiveMaxPool1D,功能一致，参数名不一致
torch.nn.AdaptiveMaxPool2d,paddle.nn.AdaptiveMaxPool2D,功能一致，参数名不一致
torch.nn.AdaptiveMaxPool3d,paddle.nn.AdaptiveMaxPool3D,功能一致，参数名不一致
torch.nn.AdaptiveAvgPool1d,paddle.nn.AdaptiveAvgPool1D,功能一致，参数名不一致
torch.nn.AdaptiveAvgPool2d,paddle.nn.AdaptiveAvgPool2D,功能一致，参数名不一致
torch.nn.AdaptiveAvgPool3d,paddle.nn.AdaptiveAvgPool3D,功能一致，参数名不一致
torch.nn.ConstantPad1d,paddle.nn.Pad1D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ConstantPad1d.md)
torch.nn.ConstantPad2d,paddle.nn.Pad2D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ConstantPad2d.md)
torch.nn.ConstantPad3d,paddle.nn.Pad3D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ConstantPad3d.md)
torch.nn.ReflectionPad1d,paddle.nn.Pad1D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ReflectionPad1d.md)
torch.nn.ReflectionPad2d,paddle.nn.Pad2D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ReflectionPad2d.md)
torch.nn.ReplicationPad1d,paddle.nn.Pad1D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ReplicationPad1d.md)
torch.nn.ReplicationPad2d,paddle.nn.Pad2D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ReplicationPad2d.md)
torch.nn.ReplicationPad3d,paddle.nn.Pad3D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.ReplicationPad3d.md)
torch.nn.BatchNorm1d,paddle.nn.BatchNorm1D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.BatchNorm1d.md)
torch.nn.BatchNorm2d,paddle.nn.BatchNorm2D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.BatchNorm2d.md)
torch.nn.BatchNorm3d,paddle.nn.BatchNorm3D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.BatchNorm3d.md)
torch.nn.Upsample,paddle.nn.Upsample,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Upsample.md)
torch.nn.Dropout,paddle.nn.Dropout,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Dropout.md)
torch.nn.Dropout2d,paddle.nn.Dropout2D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Dropout2d.md)
torch.nn.Dropout3d,paddle.nn.Dropout3D,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Dropout3d.md)
torch.nn.LSTM,paddle.nn.LSTM,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.LSTM.md)
torch.nn.GRU,paddle.nn.GRU,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.GRU.md)
torch.nn.Embedding,paddle.nn.Embedding,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/nn/torch.nn.Embedding.md)
torch.nn.ELU,paddle.nn.ELU,功能一致，PaddlePaddle未定义`inplace`参数表示在不更改变量的内存地址的情况下，直接修改变量的值
torch.nn.Hardsigmoid,paddle.nn.Hardsigmoid,功能一致，PaddlePaddle未定义`inplace`参数表示在不更改变量的内存地址的情况下，直接修改变量的值
torch.nn.LeakyReLU,paddle.nn.LeakyReLU,功能一致，PaddlePaddle未定义`inplace`参数表示在不更改变量的内存地址的情况下，直接修改变量的值
torch.nn.PReLU,paddle.nn.PReLU,功能一致
torch.nn.ReLU,paddle.nn.ReLU,功能一致，PaddlePaddle未定义`inplace`参数表示在不更改变量的内存地址的情况下，直接修改变量的值
torch.nn.Softmax,paddle.nn.Softmax,功能一致，参数名不一致
torch.set\_default\_dtype,paddle.set\_default\_dtype,功能一致
torch.get\_default\_dtype,paddle.get\_default\_dtype,功能一致
torch.numel,paddle.numel,功能一致，参数名不一致
torch.tensor,paddle.to\_tensor,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.tensor.md)
torch.from\_numpy,paddle.to\_tensor,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.from_numpy.md)
torch.zeros,paddle.zeros,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.zeros.md)
torch.zeros_like,paddle.zeros_like,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.zeros_like.md)
torch.ones,paddle.ones,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.ones.md)
torch.ones_like,paddle.ones_like,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.ones_like.md)
torch.empty,paddle.empty,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.empty.md)
torch.empty_like,paddle.empty_like,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.empty_like.md)
torch.full,paddle.full,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.full.md)
torch.full_like,paddle.full_like,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.full_like.md)
torch.arange,paddle.arange,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.arange.md)
torch.range,paddle.arange,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.range.md)
torch.linspace,paddle.linspace,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.linspace.md)
torch.eye,paddle.eye,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.eye.md)
torch.cat,paddle.concat,功能一致，参数名不一致
torch.chunk,paddle.chunk,功能一致，参数名不一致
torch.gather,paddle.gather,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.gather.md)
torch.index\_select,paddle.index\_select,功能一致，参数名不一致
torch.masked\_select,paddle.masked\_select,功能一致，参数名不一致
torch.narrow,paddle.slice,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.narrow.md)
torch.nonzero,paddle.nonzero,功能一致，参数名不一致
torch.reshape,paddle.reshape,功能一致，参数名不一致
torch.split,paddle.split,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.split.md)
torch.squeeze,paddle.squeeze,功能一致，参数名不一致
torch.stack,paddle.stack,功能一致，参数名不一致
torch.t,paddle.t,功能一致，参数名不一致
torch.transpose,paddle.transpose,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.transpose.md)
torch.unbind,paddle.unbind,功能一致，参数名不一致
torch.unsqueeze,paddle.unsqueeze,功能一致，参数名不一致
torch.where,paddle.where,功能一致
torch.bernoulli,paddle.bernoulli,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.bernoulli.md)
torch.multinomial,paddle.multinomial,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.multinomial.md)
torch.normal,paddle.normal,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.normal.md)
torch.rand,paddle.rand,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.rand.md)
torch.randint,paddle.randint,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.randint.md)
torch.randn,paddle.randn,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.randn.md)
torch.randperm,paddle.randperm,功能一致，[参数不一致](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.randperm.md)
torch.save,paddle.save,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.save.md)
torch.load,paddle.load,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.load.md)
torch.abs,paddle.abs,功能一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.absolute,paddle.abs,功能一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.acos,paddle.acos,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.arccos,paddle.acos,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.add,paddle.add,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.asin,paddle.asin,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.arcsin,paddle.asin,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.atan,paddle.atan,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.arctan,paddle.atan,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.ceil,paddle.ceil,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.clamp,paddle.clip,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.conj,paddle.conj,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.cos,paddle.cos,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.cosh,paddle.cosh,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.div,paddle.divide,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.div.md)
torch.divide,paddle.divide,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.divide.md)
torch.erf,paddle.erf,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.exp,paddle.exp,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.floor,paddle.floor,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.floor_divide,paddle.floor_divide,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.fmod,paddle.mod,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.log,paddle.log,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.log10,paddle.log10,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.log1p,paddle.log1p,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.log2,paddle.log2,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.logical_and,paddle.logical_and,功能一致，参数名不一致
torch.logical_not,paddle.logical_not,功能一致，参数名不一致
torch.logical_or,paddle.logical_or,功能一致，参数名不一致
torch.logical_xor,paddle.logical_xor,功能一致，参数名不一致
torch.mul,paddle.multiply,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.multiply,paddle.multiply,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.pow,paddle.pow,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.real,paddle.real,功能一致，参数名不一致
torch.reciprocal,paddle.reciprocal,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.remainder,paddle.mod,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.round,paddle.round,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.rsqrt,paddle.rsqrt,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.sign,paddle.sign,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.sin,paddle.sin,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.sinh,paddle.sinh,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.sqrt,paddle.sqrt,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.argmax,paddle.argmax,功能一致，参数名不一致
torch.argmin,paddle.argmin,功能一致，参数名不一致
torch.max,paddle.max,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.min,paddle.min,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.square,paddle.square,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.sub,paddle.subtract,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.sub.md)
torch.subtract,paddle.subtract,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.subtract.md)
torch.tanh,paddle.tanh,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.true_divide,paddle.divide,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.dist,paddle.dist,功能一致，参数名不一致
torch.logsumexp,paddle.logsumexp,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.mean,paddle.mean,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.median,paddle.median,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.norm,paddle.norm,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor以及`dtype`参数代表输出Tensor类型
torch.prod,paddle.prod,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.std,paddle.std,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.std_mean,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.std_mean.md)
torch.sum,paddle.sum,功能一致，参数名不一致
torch.unique,paddle.unique,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.unique.md)
torch.var,paddle.var,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.var_mean,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.var_mean.md)
