PyTorch APIs,TensorFlow APIs,说明
torch.abs,tf.abs,一致
torch.acos,tf.acos,一致
torch.acosh,tf.acosh,一致
torch.add,tf.add,一致
torch.addbmm,NONE,无对应实现
torch.addcdiv,NONE,无对应实现
torch.addcmul,tf.math.multiply,部分功能一致
torch.addmm,tf.linalg.matmul,功能一致，参数名不一致
torch.addmv,tf.linalg.matvec,功能一致，参数名不一致
torch.addr,NONE,无对应实现
torch.allclose,tf.experimental.numpy.allclose,功能一致，参数名不一致
torch.amax,tf.reduce_max,功能一致，参数名不一致
torch.amin,tf.math.reduce_min,功能一致，参数名不一致
torch.angle,tf.math.angle,一致
torch.arange,tf.range,功能一致，参数名不一致
torch.are_deterministic_algorithms_enabled,NONE,无对应实现
torch.argmax,tf.argmax,一致
torch.argmin,tf.argmin,一致
torch.argsort,tf.argsort,一致
torch.as_strided,NONE,无对应实现
torch.as_tensor,tf.convert_to_tensor,功能一致，参数名不一致
torch.asin,tf.asin,一致
torch.asinh,tf.asinh,一致
torch.atan,tf.atan,一致
torch.atan2,tf.math.atan2,一致
torch.atanh,tf.atanh,一致
torch.atleast_1d,tf.convert_to_tensor,部分功能一致
torch.atleast_2d,tf.convert_to_tensor,部分功能一致
torch.atleast_3d,tf.stack,部分功能一致
torch.baddbmm,tf.linalg.matmul,功能一致，参数名不一致
torch.bernoulli,tf.random.stateless_categorical,部分功能一致
torch.bincount,tf.math.bincount,功能一致，参数名不一致
torch.bitwise_and,tf.bitwise.bitwise_and,一致
torch.bitwise_not,tf.bitwise.invert,一致
torch.bitwise_or,tf.bitwise.bitwise_or,一致
torch.bitwise_xor,tf.bitwise.bitwise_xor,一致
torch.block_diag,NONE,无对应实现
torch.bmm,tf.linalg.matmul,功能一致，参数名不一致
torch.broadcast_shapes,NONE,无对应实现
torch.broadcast_tensors,tf.broadcast_to,部分功能一致
torch.bucketize,tf.searchsorted,功能一致，参数名不一致
torch.can_cast,NONE,无对应实现
torch.cartesian_prod,NONE,无对应实现
torch.cat,tf.concat,功能一致，参数名不一致
torch.cdist,tf.norm,部分功能一致
torch.ceil,tf.math.ceil,一致
torch.chain_matmul,NONE,无对应实现
torch.cholesky_inverse,tf.linalg.cholesky_solve,部分功能一致
torch.cholesky_solve,tf.linalg.cholesky_solve,一致
torch.chunk,tf.split,功能一致，参数名不一致
torch.clamp,tf.clip_by_value,功能一致，参数名不一致
torch.clone,tf.identity,功能一致，参数名不一致
torch.combinations,NONE,无对应实现
torch.complex,tf.complex,一致
torch.conj,tf.math.conj,一致
torch.copysign,tf.math.copysign,一致
torch.cos,tf.cos,一致
torch.cosh,tf.math.cosh,一致
torch.count_nonzero,tf.math.count_nonzero,一致
torch.cross,tf.linalg.cross,一致
torch.cummax,tf.math.cummax,部分功能一致
torch.cummin,tf.math.cummin,部分功能一致
torch.cumprod,tf.math.cumprod,一致
torch.cumsum,tf.cumsum,一致
torch.deg2rad,tf.experimental.numpy.deg2rad,功能一致，参数名不一致
torch.det,tf.linalg.det,一致
torch.diag,tf.linalg.diag,一致
torch.diag_embed,tf.linalg.diag,功能一致，参数名不一致
torch.diagflat,tf.linalg.diag,功能一致，参数名不一致
torch.diagonal,tf.linalg.diag_part,功能一致，参数名不一致
torch.digamma,tf.math.digamma,一致
torch.dist,NONE,无对应实现
torch.div,tf.math.divide,功能一致，参数名不一致
torch.dot,tf.tensordot,功能一致，参数名不一致
torch.dstack,tf.experimental.numpy.dstack,一致
torch.eig,NONE,无对应实现
torch.einsum,tf.einsum,一致
torch.empty,tf.zeros,部分功能一致
torch.empty_like,tf.zeros_like,部分功能一致
torch.empty_strided,NONE,无对应实现
torch.eq,tf.equal,一致
torch.equal,tf.debugging.assert_equal,功能一致，参数名不一致
torch.erf,tf.math.erf,一致
torch.erfc,tf.math.erfc,一致
torch.erfinv,tf.math.erfinv,一致
torch.exp,tf.exp,一致
torch.exp2,NONE,无对应实现
torch.expm1,tf.math.expm1,一致
torch.eye,tf.eye,一致
torch.flatten,tf.reshape,功能一致，参数名不一致
torch.flip,tf.reverse,功能一致，参数名不一致
torch.fliplr,tf.reverse,功能一致，参数名不一致
torch.flipud,tf.reverse,功能一致，参数名不一致
torch.float_power,NONE,无对应实现
torch.floor,tf.math.floor,一致
torch.floor_divide,tf.math.floordiv,功能一致，参数名不一致
torch.fmax,tf.math.maximum,功能一致，参数名不一致
torch.fmin,tf.math.minimum,功能一致，参数名不一致
torch.fmod,tf.math.floormod,部分功能一致
torch.frac,NONE,无对应实现
torch.full,tf.fill,功能一致，参数名不一致
torch.full_like,tf.fill,功能一致，参数名不一致
torch.gather,tf.gather,功能一致，参数名不一致
torch.gcd,NONE,无对应实现
torch.ge,tf.math.greater_equal,一致
torch.ger,tf.linalg.matmul,功能一致，参数名不一致
torch.get_rng_state,tf.random.get_global_generator,功能一致，参数名不一致
torch.gt,tf.greater,一致
torch.heaviside,NONE,无对应实现
torch.histc,NONE,无对应实现
torch.hstack,tf.concat,功能一致，参数名不一致
torch.hypot,tf.math.hypot,一致
torch.i0,NONE,无对应实现
torch.igamma,NONE,无对应实现
torch.imag,tf.math.imag,一致
torch.index_select,tf.gather,功能一致，参数名不一致
torch.inner,tf.tensordot,功能一致，参数名不一致
torch.inverse,tf.linalg.inv,一致
torch.is_nonzero,NONE,无对应实现
torch.is_tensor,tf.is_tensor,一致
torch.isclose,tf.experimental.numpy.isclose,功能一致，参数名不一致
torch.isfinite,tf.math.is_finite,一致
torch.isinf,tf.math.is_inf,一致
torch.isnan,tf.math.is_nan,一致
torch.isneginf,NONE,无对应实现
torch.isposinf,NONE,无对应实现
torch.isreal,NONE,无对应实现
torch.kron,tf.linalg.kron,一致
torch.kthvalue,NONE,无对应实现
torch.lcm,NONE,无对应实现
torch.le,tf.math.less_equal,一致
torch.lerp,tf.raw_ops.Lerp,一致
torch.lgamma,tf.math.lgamma,一致
torch.linspace,tf.linspace,一致
torch.log,tf.math.log,一致
torch.log10,tf.math.log10,一致
torch.log1p,tf.math.log1p,一致
torch.log2,tf.math.log,功能一致，参数名不一致
torch.logaddexp,tf.math.logaddexp,一致
torch.logaddexp2,NONE,无对应实现
torch.logcumsumexp,NONE,无对应实现
torch.logdet,tf.linalg.logdet,一致
torch.logical_and,tf.logical_and,一致
torch.logical_not,tf.logical_not,一致
torch.logical_or,tf.logical_or,一致
torch.logical_xor,tf.math.logical_xor,一致
torch.logit,tf.math.log_sigmoid,功能一致，参数名不一致
torch.logspace,tf.linspace,部分功能一致
torch.logsumexp,tf.math.reduce_logsumexp,功能一致，参数名不一致
torch.lstsq,NONE,无对应实现
torch.lt,tf.less,一致
torch.lu,NONE,无对应实现
torch.lu_solve,NONE,无对应实现
torch.masked_select,tf.boolean_mask,功能一致，参数名不一致
torch.matmul,tf.matmul,一致
torch.matrix_exp,NONE,无对应实现
torch.matrix_power,NONE,无对应实现
torch.matrix_rank,tf.linalg.matrix_rank,一致
torch.max,tf.reduce_max,功能一致，参数名不一致
torch.maximum,tf.maximum,一致
torch.mean,tf.reduce_mean,功能一致，参数名不一致
torch.median,tf.math.reduce_median,功能一致，参数名不一致
torch.min,tf.reduce_min,功能一致，参数名不一致
torch.minimum,tf.minimum,一致
torch.mm,tf.linalg.matmul,功能一致，参数名不一致
torch.mode,NONE,无对应实现
torch.movedim,tf.transpose,功能一致，参数名不一致
torch.msort,NONE,无对应实现
torch.mul,tf.multiply,一致
torch.multinomial,tf.random.categorical,功能一致，参数名不一致
torch.mv,tf.linalg.matvec,功能一致，参数名不一致
torch.mvlgamma,NONE,无对应实现
torch.nanmedian,NONE,无对应实现
torch.nanquantile,NONE,无对应实现
torch.nansum,tf.math.reduce_sum,部分功能一致
torch.narrow,tf.slice,部分功能一致
torch.ne,tf.not_equal,一致
torch.neg,tf.negative,一致
torch.nextafter,NONE,无对应实现
torch.nn.AdaptiveAvgPool1d,tf.keras.layers.GlobalAveragePooling1D,功能一致，参数名不一致
torch.nn.AdaptiveAvgPool2d,tf.keras.layers.GlobalAveragePooling2D,功能一致，参数名不一致
torch.nn.AdaptiveAvgPool3d,tf.keras.layers.GlobalAveragePooling3D,部分功能一致
torch.nn.AdaptiveMaxPool1d,NONE,无对应实现
torch.nn.AdaptiveMaxPool2d,tf.nn.adaptive_max_pooling_2d,无对应实现
torch.nn.AdaptiveMaxPool3d,NONE,无对应实现
torch.nn.AlphaDropout,NONE,无对应实现
torch.nn.AvgPool1d,tf.keras.layers.AveragePooling1D,一致
torch.nn.AvgPool2d,tf.nn.avg_pool2d,一致
torch.nn.AvgPool3d,tf.keras.layers.AveragePooling3D,一致
torch.nn.BCELoss,tf.keras.losses.BinaryCrossentropy,功能一致，参数名不一致
torch.nn.BCEWithLogitsLoss,tf.keras.losses.BinaryCrossentropy,功能一致，参数名不一致
torch.nn.BatchNorm1d,tf.keras.layers.BatchNormalization,功能一致，参数名不一致
torch.nn.BatchNorm2d,tf.keras.layers.BatchNormalization,功能一致，参数名不一致
torch.nn.BatchNorm3d,tf.keras.layers.BatchNormalization,功能一致，参数名不一致
torch.nn.Bilinear,NONE,无对应实现
torch.nn.CELU,tf.nn.celu,一致
torch.nn.CTCLoss,tf.nn.ctc_loss,功能一致，参数名不一致
torch.nn.ConstantPad1d,tf.pad,功能一致，参数名不一致
torch.nn.ConstantPad2d,tf.pad,功能一致，参数名不一致
torch.nn.ConstantPad3d,tf.pad,功能一致，参数名不一致
torch.nn.Conv1d,tf.keras.layers.Conv1D,一致
torch.nn.Conv2d,tf.keras.layers.Conv2D,一致
torch.nn.Conv3d,tf.keras.layers.Conv3D,一致
torch.nn.ConvTranspose2d,tf.keras.layers.Conv2DTranspose,一致
torch.nn.ConvTranspose3d,tf.keras.layers.Conv3DTranspose,一致
torch.nn.CosineSimilarity,tf.keras.losses.CosineSimilarity,功能一致，参数名不一致
torch.nn.CrossEntropyLoss,tf.nn.sparse_softmax_cross_entropy_with_logits,功能一致，参数名不一致
torch.nn.Dropout,tf.nn.dropout,功能一致，参数名不一致
torch.nn.Dropout2d,tf.nn.dropout,功能一致，参数名不一致
torch.nn.Dropout3d,tf.nn.dropout,部分功能一致
torch.nn.ELU,tf.nn.elu,一致
torch.nn.Embedding,tf.keras.layers.Embedding,一致
torch.nn.Flatten,tf.keras.layers.Flatten,一致
torch.nn.Fold,NONE,无对应实现
torch.nn.FractionalMaxPool2d,NONE,无对应实现
