pytorch-api,tensorflow-api,confidence,changed
torch.abs,tf.abs,high,N
torch.acos,tf.acos,high,N
torch.acosh,tf.acosh,high,N
torch.add,tf.add,high,N
torch.addbmm,tf.linalg.matmul,medium,Y
torch.addcdiv,无对应实现,high,N
torch.addcmul,tf.keras.backend.in_top_k,low,Y
torch.addmm,tf.linalg.matmul,high,Y
torch.addmv,无对应实现,high,Y
torch.addr,tf.linalg.tensor_diag,low,Y
torch.allclose,tf.experimental.numpy.allclose,high,N
torch.amax,tf.reduce_max,high,N
torch.amin,tf.reduce_min,high,N
torch.angle,tf.math.angle,high,N
torch.arange,tf.range,high,N
torch.are_deterministic_algorithms_enabled,无对应实现,high,N
torch.argmax,tf.argmax,high,N
torch.argmin,tf.argmin,high,N
torch.argsort,tf.argsort,high,N
torch.as_strided,无对应实现,high,Y
torch.as_tensor,tf.convert_to_tensor,high,N
torch.asin,tf.asin,high,N
torch.asinh,tf.asinh,high,N
torch.atan,tf.atan,high,N
torch.atan2,tf.atan2,high,N
torch.atanh,tf.atanh,high,N
torch.atleast_1d,tf.reshape,medium,Y
torch.atleast_2d,tf.reshape,medium,Y
torch.atleast_3d,tf.reshape,medium,Y
torch.baddbmm,tf.linalg.addbmm,low,Y
torch.bernoulli,tf.random.uniform,low,N
torch.bincount,tf.math.bincount,high,N
torch.bitwise_and,tf.bitwise.bitwise_and,high,N
torch.bitwise_not,tf.bitwise.invert,high,N
torch.bitwise_or,tf.bitwise.bitwise_or,high,N
torch.bitwise_xor,tf.bitwise.bitwise_xor,high,N
torch.block_diag,tf.linalg.diag_part,low,Y
torch.bmm,tf.matmul,high,Y
torch.broadcast_shapes,tf.broadcast_dynamic_shape,high,N
torch.broadcast_tensors,无对应实现,high,Y
torch.bucketize,tf.searchsorted,high,N
torch.can_cast,无对应实现,high,N
torch.cartesian_prod,tf.meshgrid,medium,Y
torch.cat,tf.concat,high,N
torch.cdist,无对应实现,high,Y
torch.ceil,tf.math.ceil,high,N
torch.chain_matmul,无对应实现,high,N
