pytorch-api,mindspore-api
torch.abs,mindspore.ops.abs
torch.acos,mindspore.ops.acos
torch.acosh,mindspore.ops.acosh
torch.add,mindspore.ops.add
torch.addbmm,无对应实现
torch.addcdiv,mindspore.ops.addcdiv
torch.addcmul,mindspore.ops.addcmul
torch.addmm,mindspore.ops.addmm
torch.addmv,mindspore.ops.addmv
torch.addr,无对应实现
torch.allclose,无对应实现
torch.amax,mindspore.ops.ReduceMax
torch.amin,mindspore.ops.reduce_min
torch.angle,mindspore.ops.angle
torch.arange,mindspore.ops.arange
torch.are_deterministic_algorithms_enabled,无对应实现
torch.argmax,mindspore.ops.argmax
torch.argmin,mindspore.ops.argmin
torch.argsort,mindspore.ops.argsort
torch.as_strided,无对应实现
torch.as_tensor,mindspore.Tensor
torch.asin,mindspore.ops.asin
torch.asinh,mindspore.ops.asinh
torch.atan,mindspore.ops.atan
torch.atan2,mindspore.ops.atan2
torch.atanh,mindspore.ops.atanh
torch.atleast_1d,mindspore.numpy.atleast_1d
torch.atleast_2d,mindspore.numpy.atleast_2d
torch.atleast_3d,mindspore.numpy.atleast_3d
torch.baddbmm,mindspore.ops.baddbmm
torch.bernoulli,mindspore.ops.bernoulli
torch.bincount,mindspore.ops.bincount
torch.bitwise_and,mindspore.ops.bitwise_and
torch.bitwise_not,mindspore.ops.bitwise_not
torch.bitwise_or,mindspore.ops.bitwise_or
torch.bitwise_xor,mindspore.ops.bitwise_xor
torch.block_diag,无对应实现
torch.bmm,mindspore.ops.matmul
torch.broadcast_shapes,无对应实现
torch.broadcast_tensors,mindspore.ops.broadcast_to
torch.bucketize,mindspore.ops.bucketize
torch.can_cast,无对应实现
torch.cartesian_prod,无对应实现
torch.cat,mindspore.ops.cat
torch.cdist,mindspore.ops.Cdist
torch.ceil,mindspore.ops.ceil
torch.chain_matmul,无对应实现
torch.cholesky_inverse,无对应实现
torch.cholesky_solve,mindspore.ops.cholesky_solve
torch.chunk,mindspore.ops.Split
torch.clamp,mindspore.ops.clip
torch.clone,mindspore.ops.copy
torch.combinations,无对应实现
torch.complex,mindspore.ops.complex
torch.conj,mindspore.ops.conj
torch.copysign,mindspore.ops.copysign
torch.cos,mindspore.ops.cos
torch.cosh,mindspore.ops.cosh
torch.count_nonzero,mindspore.ops.count_nonzero
torch.cross,mindspore.ops.cross
torch.cummax,mindspore.ops.cummax
torch.cummin,无对应实现
torch.cumprod,mindspore.ops.cumprod
torch.cumsum,mindspore.ops.cumsum
torch.deg2rad,mindspore.ops.deg2rad
torch.det,无对应实现
torch.diag,mindspore.ops.diag
torch.diag_embed,mindspore.ops.diag_embed
torch.diagflat,mindspore.ops.diagflat
torch.diagonal,mindspore.numpy.diagonal
torch.digamma,mindspore.ops.digamma
torch.dist,mindspore.ops.norm
torch.div,mindspore.ops.div
torch.dot,无对应实现
torch.dstack,mindspore.ops.stack
torch.eig,无对应实现
torch.einsum,mindspore.ops.einsum
torch.empty,mindspore.ops.fill
torch.empty_like,mindspore.ops.fill
torch.empty_strided,无对应实现
torch.eq,mindspore.ops.equal
torch.equal,mindspore.ops.eq
torch.erf,mindspore.ops.erf
torch.erfc,mindspore.ops.erfc
torch.erfinv,mindspore.ops.erfinv
torch.exp,mindspore.ops.exp
torch.exp2,mindspore.ops.pow
torch.expm1,mindspore.ops.expm1
torch.eye,mindspore.ops.eye
torch.flatten,mindspore.ops.flatten
torch.flip,mindspore.ops.reverse
torch.fliplr,mindspore.ops.fliplr
torch.flipud,mindspore.ops.reverse
torch.float_power,mindspore.ops.pow
torch.floor,mindspore.ops.floor
torch.floor_divide,mindspore.ops.floor_divide
torch.fmax,mindspore.ops.fmax
torch.fmin,mindspore.ops.minimum
torch.fmod,mindspore.ops.fmod
torch.frac,无对应实现
torch.full,mindspore.ops.full
torch.full_like,mindspore.ops.full_like
torch.gather,mindspore.ops.gather
torch.gcd,无对应实现
torch.ge,mindspore.ops.greater_equal
torch.ger,mindspore.ops.outer
torch.get_rng_state,无对应实现
torch.gt,mindspore.ops.gt
torch.heaviside,mindspore.ops.heaviside
torch.histc,无对应实现
torch.hstack,mindspore.ops.concat
torch.hypot,mindspore.ops.hypot
torch.i0,无对应实现
torch.igamma,无对应实现
torch.imag,mindspore.ops.imag
torch.index_select,mindspore.ops.gather
torch.inner,mindspore.ops.inner
torch.inverse,mindspore.ops.matrix_inverse
torch.is_nonzero,无对应实现
torch.is_tensor,mindspore.ops.is_tensor
torch.isclose,mindspore.ops.isclose
torch.isfinite,mindspore.ops.isfinite
torch.isinf,mindspore.ops.isinf
torch.isnan,mindspore.ops.isnan
torch.isneginf,mindspore.ops.isneginf
torch.isposinf,mindspore.ops.isposinf
torch.isreal,mindspore.ops.isreal
torch.kron,mindspore.ops.kron
torch.kthvalue,无对应实现
torch.lcm,无对应实现
torch.le,mindspore.ops.less_equal
torch.lerp,mindspore.ops.lerp
torch.lgamma,mindspore.ops.lgamma
torch.linspace,mindspore.numpy.linspace
torch.log,mindspore.ops.log
torch.log10,mindspore.ops.log10
torch.log1p,mindspore.ops.log1p
torch.log2,mindspore.ops.log2
torch.logaddexp,mindspore.ops.logaddexp
torch.logaddexp2,无对应实现
torch.logcumsumexp,无对应实现
torch.logdet,mindspore.ops.logdet
torch.logical_and,mindspore.ops.logical_and
torch.logical_not,mindspore.ops.logical_not
torch.logical_or,mindspore.ops.logical_or
torch.logical_xor,mindspore.ops.logical_xor
torch.logit,mindspore.ops.logit
torch.logspace,mindspore.numpy.logspace
torch.logsumexp,mindspore.ops.logsumexp
torch.lstsq,无对应实现
torch.lt,mindspore.ops.less
torch.lu,mindspore.scipy.linalg.lu
torch.lu_solve,无对应实现
torch.masked_select,mindspore.ops.masked_select
torch.matmul,mindspore.ops.matmul
torch.matrix_exp,无对应实现
torch.matrix_power,无对应实现
torch.matrix_rank,无对应实现
torch.max,mindspore.ops.ReduceMax
torch.maximum,mindspore.ops.maximum
torch.mean,mindspore.ops.ReduceMean
torch.median,mindspore.ops.median
torch.min,mindspore.ops.ReduceMin
torch.minimum,mindspore.ops.minimum
torch.mm,mindspore.ops.matmul
torch.mode,无对应实现
torch.movedim,mindspore.ops.transpose
torch.msort,无对应实现
torch.mul,mindspore.ops.mul
torch.multinomial,mindspore.ops.multinomial
torch.mv,mindspore.ops.mv
torch.mvlgamma,无对应实现
torch.nanmedian,无对应实现
torch.nanquantile,无对应实现
torch.nansum,mindspore.ops.nansum
torch.narrow,mindspore.ops.strided_slice
torch.ne,mindspore.ops.not_equal
torch.neg,mindspore.ops.neg
torch.nextafter,无对应实现
