pytorch-api,mindspore-api,confidence,changed
torch.abs,mindspore.ops.abs,high,N
torch.acos,mindspore.ops.acos,high,N
torch.acosh,mindspore.ops.acosh,high,N
torch.add,mindspore.ops.add,high,N
torch.addbmm,无对应实现,high,N
torch.addcdiv,mindspore.ops.addcdiv,high,N
torch.addcmul,mindspore.ops.addcmul,high,N
torch.addmm,mindspore.ops.addmm,high,N
torch.addmv,mindspore.ops.addmv,high,N
torch.addr,mindspore.ops.outer,high,Y
torch.allclose,mindspore.ops.allclose,high,Y
torch.amax,mindspore.ops.ReduceMax,high,N
torch.amin,mindspore.ops.reduce_min,high,N
torch.angle,mindspore.ops.angle,high,N
torch.arange,mindspore.ops.arange,high,N
torch.are_deterministic_algorithms_enabled,无对应实现,high,N
torch.argmax,mindspore.ops.argmax,high,N
torch.argmin,mindspore.ops.argmin,high,N
torch.argsort,mindspore.ops.argsort,high,N
torch.as_strided,无对应实现,high,N
torch.as_tensor,mindspore.Tensor,high,N
torch.asin,mindspore.ops.asin,high,N
torch.asinh,mindspore.ops.asinh,high,N
torch.atan,mindspore.ops.atan,high,N
torch.atan2,mindspore.ops.atan2,high,N
torch.atanh,mindspore.ops.atanh,high,N
torch.atleast_1d,mindspore.numpy.atleast_1d,high,N
torch.atleast_2d,mindspore.numpy.atleast_2d,high,N
torch.atleast_3d,mindspore.numpy.atleast_3d,high,N
torch.baddbmm,mindspore.ops.baddbmm,high,N
torch.bernoulli,mindspore.ops.bernoulli,high,N
torch.bincount,mindspore.ops.bincount,high,N
torch.bitwise_and,mindspore.ops.bitwise_and,high,N
torch.bitwise_not,mindspore.ops.bitwise_not,high,N
torch.bitwise_or,mindspore.ops.bitwise_or,high,N
torch.bitwise_xor,mindspore.ops.bitwise_xor,high,N
torch.block_diag,无对应实现,high,N
torch.bmm,mindspore.ops.matmul,high,Y
torch.broadcast_shapes,mindspore.numpy.broadcast_shapes,high,Y
torch.broadcast_tensors,mindspore.ops.broadcast_to,high,N
torch.bucketize,mindspore.ops.bucketize,high,N
torch.can_cast,无对应实现,high,N
torch.cartesian_prod,无对应实现,high,N
torch.cat,mindspore.ops.cat,high,N
torch.cdist,mindspore.ops.Cdist,high,N
torch.ceil,mindspore.ops.ceil,high,N
torch.chain_matmul,无对应实现,high,N
torch.cholesky_inverse,无对应实现,high,Y
torch.cholesky_solve,mindspore.ops.cholesky_solve,high,Y
torch.chunk,mindspore.ops.Split,high,N
torch.clamp,mindspore.ops.clip,high,N
torch.clone,mindspore.ops.copy,high,N
torch.combinations,无对应实现,high,N
torch.complex,mindspore.ops.complex,high,N
torch.conj,mindspore.ops.conj,high,N
torch.copysign,mindspore.ops.copysign,high,N
torch.cos,mindspore.ops.cos,high,N
torch.cosh,mindspore.ops.cosh,high,N
torch.count_nonzero,mindspore.ops.count_nonzero,high,N
torch.cross,mindspore.ops.cross,high,N
torch.cummax,mindspore.ops.cummax,high,N
torch.cummin,无对应实现,high,N
torch.cumprod,mindspore.ops.cumprod,high,N
torch.cumsum,mindspore.ops.cumsum,high,N
torch.deg2rad,mindspore.ops.deg2rad,high,N
torch.det,mindspore.ops.matrix_determinant,high,Y
torch.diag,mindspore.ops.diag,high,N
torch.diag_embed,mindspore.ops.diag_embed,high,N
torch.diagflat,mindspore.ops.diagflat,high,N
torch.diagonal,mindspore.numpy.diagonal,high,N
torch.digamma,mindspore.ops.digamma,high,N
torch.dist,mindspore.ops.norm,high,N
torch.div,mindspore.ops.div,high,N
torch.dot,mindspore.ops.reduce_sum,high,Y
torch.dstack,mindspore.ops.stack,high,N
torch.eig,mindspore.ops.Eigh,high,Y
torch.einsum,mindspore.ops.einsum,high,N
torch.empty,mindspore.ops.zeros_like,low,Y
torch.empty_like,mindspore.ops.fill,high,Y
torch.empty_strided,无对应实现,high,N
torch.eq,mindspore.ops.equal,high,N
torch.equal,mindspore.ops.eq,high,Y
torch.erf,mindspore.ops.erf,high,N
torch.erfc,mindspore.ops.erfc,high,N
torch.erfinv,mindspore.ops.erfinv,high,N
torch.exp,mindspore.ops.exp,high,N
torch.exp2,mindspore.ops.pow,high,N
torch.expm1,mindspore.ops.expm1,high,N
torch.eye,mindspore.ops.eye,high,N
torch.flatten,mindspore.ops.flatten,high,N
torch.flip,mindspore.ops.reverse,high,N
torch.fliplr,mindspore.ops.fliplr,high,N
torch.flipud,mindspore.ops.reverse,high,N
torch.float_power,mindspore.ops.pow,high,N
torch.floor,mindspore.ops.floor,high,N
torch.floor_divide,mindspore.ops.floor_divide,high,N
torch.fmax,mindspore.ops.fmax,high,N
torch.fmin,mindspore.ops.minimum,high,Y
torch.fmod,mindspore.ops.fmod,high,N
torch.frac,mindspore.ops.fractional,high,Y
torch.full,mindspore.ops.full,high,N
torch.full_like,mindspore.ops.full_like,high,N
torch.gather,mindspore.ops.gather,high,Y
torch.gcd,无对应实现,high,Y
torch.ge,mindspore.ops.greater_equal,high,N
torch.ger,mindspore.ops.outer,high,N
torch.get_rng_state,无对应实现,high,N
torch.gt,mindspore.ops.gt,high,N
torch.heaviside,mindspore.ops.heaviside,high,N
torch.histc,无对应实现,high,N
torch.hstack,mindspore.ops.concat,high,N
torch.hypot,mindspore.ops.hypot,high,N
torch.i0,无对应实现,high,N
torch.igamma,mindspore.ops.igamma,high,Y
torch.imag,mindspore.ops.imag,high,N
torch.index_select,mindspore.ops.gather,high,N
torch.inner,mindspore.ops.inner,high,N
torch.inverse,mindspore.ops.matrix_inverse,high,N
torch.is_nonzero,无对应实现,high,N
torch.is_tensor,mindspore.ops.is_tensor,high,N
torch.isclose,mindspore.ops.isclose,high,Y
torch.isfinite,mindspore.ops.isfinite,high,N
torch.isinf,mindspore.ops.isinf,high,N
torch.isnan,mindspore.ops.isnan,high,Y
torch.isneginf,mindspore.ops.isneginf,high,N
torch.isposinf,mindspore.ops.isposinf,high,Y
torch.isreal,mindspore.ops.isreal,high,N
torch.kron,mindspore.ops.kron,high,N
torch.kthvalue,mindspore.ops.top_k,high,Y
torch.lcm,mindspore.numpy.lcm,high,Y
torch.le,mindspore.ops.less_equal,high,N
