pytorch-api,paddle-api,confidence,changed
torch.abs,paddle.abs,high,N
torch.acos,paddle.acos,high,N
torch.acosh,paddle.acosh,high,N
torch.add,paddle.add,high,N
torch.addbmm,无对应实现,high,Y
torch.addcdiv,paddle.addcdiv,high,N
torch.addcmul,paddle.addcmul,high,N
torch.addmm,paddle.addmm,high,N
torch.addmv,paddle.addmv,high,Y
torch.addr,paddle.ger,high,Y
torch.allclose,paddle.allclose,high,N
torch.amax,paddle.max,high,N
torch.amin,paddle.amin,high,N
torch.angle,paddle.angle,high,N
torch.arange,paddle.arange,high,N
torch.are_deterministic_algorithms_enabled,无对应实现,high,N
torch.argmax,paddle.argmax,high,N
torch.argmin,paddle.argmin,high,N
torch.argsort,paddle.argsort,high,N
torch.as_strided,无对应实现,high,N
torch.as_tensor,paddle.to_tensor,high,N
torch.asin,paddle.asin,high,N
torch.asinh,paddle.asinh,high,N
torch.atan,paddle.atan,high,N
torch.atan2,paddle.atan2,high,N
torch.atanh,paddle.atanh,high,N
torch.atleast_1d,paddle.atleast_1d,high,N
torch.atleast_2d,paddle.atleast_2d,high,N
torch.atleast_3d,paddle.atleast_3d,high,N
torch.baddbmm,无对应实现,high,Y
torch.bernoulli,paddle.bernoulli,high,N
torch.bincount,paddle.bincount,high,N
torch.bitwise_and,paddle.bitwise_and,high,N
torch.bitwise_not,paddle.bitwise_not,high,N
torch.bitwise_or,paddle.bitwise_or,high,N
torch.bitwise_xor,paddle.bitwise_xor,high,N
torch.block_diag,无对应实现,high,N
torch.bmm,paddle.bmm,high,N
torch.broadcast_shapes,paddle.broadcast_shape,high,Y
torch.broadcast_tensors,paddle.broadcast_tensors,high,N
torch.bucketize,paddle.searchsorted,high,N
torch.can_cast,无对应实现,high,N
torch.cartesian_prod,paddle.cartesian_prod,high,Y
torch.cat,paddle.concat,high,N
torch.cdist,无对应实现,high,Y
torch.ceil,paddle.ceil,high,N
torch.chain_matmul,无对应实现,high,N
torch.cholesky_inverse,paddle.linalg.cholesky_inverse,high,N
torch.cholesky_solve,paddle.linalg.cholesky_solve,high,Y
torch.chunk,paddle.split,high,N
torch.clamp,paddle.clip,high,N
torch.clone,paddle.clone,high,N
torch.combinations,无对应实现,high,N
torch.complex,paddle.complex,high,N
torch.conj,paddle.conj,high,N
torch.copysign,paddle.copysign,high,N
torch.cos,paddle.cos,high,N
torch.cosh,paddle.cosh,high,N
torch.count_nonzero,paddle.count_nonzero,high,N
torch.cross,paddle.cross,high,N
torch.cummax,paddle.cummax,high,N
torch.cummin,paddle.cummin,high,Y
torch.cumprod,paddle.cumprod,high,N
torch.cumsum,paddle.cumsum,high,N
torch.deg2rad,paddle.deg2rad,high,N
torch.det,paddle.linalg.det,high,N
torch.diag,paddle.diag,high,N
torch.diag_embed,paddle.diag_embed,high,N
torch.diagflat,paddle.diagflat,high,N
torch.diagonal,paddle.diagonal,high,N
torch.digamma,paddle.digamma,high,N
torch.dist,paddle.dist,high,N
torch.div,paddle.divide,high,N
torch.dot,paddle.dot,high,N
torch.dstack,paddle.stack,high,N
torch.eig,paddle.linalg.eig,high,N
torch.einsum,paddle.einsum,high,N
torch.empty,paddle.empty,high,N
torch.empty_like,paddle.empty_like,high,N
torch.empty_strided,paddle.empty_strided,high,Y
torch.eq,paddle.equal,high,N
torch.equal,paddle.equal_all,high,Y
torch.erf,paddle.erf,high,N
torch.erfc,paddle.erfc,high,N
torch.erfinv,paddle.erfinv,high,N
torch.exp,paddle.exp,high,N
torch.exp2,paddle.pow,high,N
torch.expm1,paddle.expm1,high,N
torch.eye,paddle.eye,high,N
torch.flatten,paddle.flatten,high,N
torch.flip,paddle.flip,high,N
torch.fliplr,paddle.fliplr,high,N
torch.flipud,paddle.flip,high,N
torch.float_power,paddle.pow,high,N
torch.floor,paddle.floor,high,N
torch.floor_divide,paddle.floor_divide,high,N
torch.fmax,paddle.maximum,high,N
torch.fmin,paddle.fmin,high,N
torch.fmod,paddle.fmod,high,N
torch.frac,paddle.frac,high,N
torch.full,paddle.full,high,N
torch.full_like,paddle.full_like,high,N
torch.gather,paddle.gather,high,Y
torch.gcd,paddle.gcd,high,N
torch.ge,paddle.greater_equal,high,N
torch.ger,paddle.outer,high,N
torch.get_rng_state,paddle.get_rng_state,high,Y
torch.gt,paddle.greater_than,high,N
torch.heaviside,paddle.heaviside,high,N
torch.histc,paddle.histogram,high,N
torch.hstack,paddle.concat,high,N
torch.hypot,paddle.hypot,high,N
torch.i0,paddle.i0,high,Y
torch.igamma,paddle.igamma,high,Y
torch.imag,paddle.imag,high,N
torch.index_select,paddle.index_select,high,N
torch.inner,paddle.inner,high,N
torch.inverse,paddle.linalg.inv,high,N
torch.is_nonzero,无对应实现,high,N
torch.is_tensor,paddle.is_tensor,high,N
torch.isclose,paddle.isclose,high,N
torch.isfinite,paddle.isfinite,high,N
torch.isinf,paddle.isinf,high,N
torch.isnan,paddle.isnan,high,N
torch.isneginf,paddle.isneginf,high,N
torch.isposinf,无对应实现,high,Y
torch.isreal,paddle.isreal,high,N
torch.kron,paddle.kron,high,N
torch.kthvalue,paddle.kthvalue,high,N
torch.lcm,paddle.lcm,high,Y
torch.le,paddle.less_equal,high,N
torch.lerp,paddle.lerp,high,N
torch.lgamma,paddle.lgamma,high,N
torch.linspace,paddle.linspace,high,N
torch.log,paddle.log,high,N
torch.log10,paddle.log10,high,N
torch.log1p,paddle.log1p,high,N
torch.log2,paddle.log2,high,N
torch.logaddexp,paddle.logaddexp,high,N
torch.logaddexp2,无对应实现,high,N
torch.logcumsumexp,paddle.logcumsumexp,high,N
torch.logdet,paddle.linalg.slogdet,high,N
torch.logical_and,paddle.logical_and,high,N
torch.logical_not,paddle.logical_not,high,N
torch.logical_or,paddle.logical_or,high,N
torch.logical_xor,paddle.logical_xor,high,N
torch.logit,paddle.nn.functional.logit,high,N
torch.logspace,paddle.logspace,high,N
torch.logsumexp,paddle.logsumexp,high,N
torch.lstsq,paddle.linalg.lstsq,high,N
torch.lt,paddle.lt,high,N
torch.lu,paddle.linalg.lu,high,N
torch.lu_solve,paddle.linalg.lu_solve,high,Y
torch.masked_select,paddle.masked_select,high,N
torch.matmul,paddle.matmul,high,N
torch.matrix_exp,paddle.linalg.expm,high,N
torch.matrix_power,paddle.linalg.matrix_power,high,N
torch.matrix_rank,paddle.linalg.matrix_rank,high,N
torch.max,paddle.max,high,N
torch.maximum,paddle.maximum,high,N
torch.mean,paddle.mean,high,N
torch.median,paddle.median,high,N
torch.min,paddle.min,high,N
torch.minimum,paddle.minimum,high,N
torch.mm,paddle.mm,high,N
torch.mode,paddle.mode,high,N
torch.movedim,paddle.moveaxis,high,Y
torch.msort,paddle.sort,high,N
