pytorch-api,tensorflow-api
torch.abs,tf.abs
torch.acos,tf.acos
torch.acosh,tf.acosh
torch.add,tf.add
torch.addbmm,无对应实现
torch.addcdiv,tf.math.add
torch.addcmul,tf.add
torch.addmm,tf.linalg.matvec
torch.addmv,tf.linalg.matvec
torch.addr,tf.linalg.outer
torch.allclose,tf.experimental.numpy.allclose
torch.amax,tf.reduce_max
torch.amin,tf.reduce_min
torch.angle,tf.math.angle
torch.arange,tf.range
torch.are_deterministic_algorithms_enabled,无对应实现
torch.argmax,tf.argmax
torch.argmin,tf.argmin
torch.argsort,tf.argsort
torch.as_strided,无对应实现
torch.as_tensor,tf.convert_to_tensor
torch.asin,tf.asin
torch.asinh,tf.asinh
torch.atan,tf.math.atan
torch.atan2,tf.math.atan2
torch.atanh,tf.math.atanh
torch.atleast_1d,tf.ensure_shape
torch.atleast_2d,tf.expand_dims
torch.atleast_3d,tf.expand_dims
torch.baddbmm,tf.linalg.batch_matmul
torch.bernoulli,tf.random.uniform
torch.bincount,tf.math.bincount
torch.bitwise_and,tf.bitwise.bitwise_and
torch.bitwise_not,tf.bitwise.invert
torch.bitwise_or,tf.bitwise.bitwise_or
torch.bitwise_xor,tf.bitwise.bitwise_xor
torch.block_diag,tf.linalg.diag_part
torch.bmm,tf.linalg.matmul
torch.broadcast_shapes,tf.broadcast_static_shape
torch.broadcast_tensors,tf.broadcast_to
torch.bucketize,tf.searchsorted
torch.can_cast,tf.experimental.numpy.can_cast
torch.cartesian_prod,tf.meshgrid
torch.cat,tf.concat
torch.cdist,tf.norm
torch.ceil,tf.math.ceil
torch.chain_matmul,无对应实现
torch.cholesky_inverse,tf.linalg.cholesky_solve
torch.cholesky_solve,tf.linalg.cholesky_solve
torch.chunk,tf.split
torch.clamp,
torch.clone,
torch.combinations,
torch.complex,
torch.conj,
torch.copysign,
torch.cos,
torch.cosh,
torch.count_nonzero,
torch.cross,
torch.cummax,
torch.cummin,
torch.cumprod,
torch.cumsum,
torch.deg2rad,
torch.det,
torch.diag,
torch.diag_embed,
torch.diagflat,
torch.diagonal,
torch.digamma,
torch.dist,
torch.div,
torch.dot,
torch.dstack,
torch.eig,
torch.einsum,
torch.empty,
torch.empty_like,
torch.empty_strided,
torch.eq,
torch.equal,
torch.erf,
torch.erfc,
torch.erfinv,
torch.exp,
torch.exp2,
torch.expm1,
torch.eye,
torch.flatten,
torch.flip,
torch.fliplr,
torch.flipud,
torch.float_power,
torch.floor,
torch.floor_divide,
torch.fmax,
torch.fmin,
torch.fmod,
torch.frac,
torch.full,
torch.full_like,
torch.gather,
torch.gcd,
torch.ge,
torch.ger,
torch.get_rng_state,
torch.gt,
torch.heaviside,
torch.histc,
torch.hstack,
torch.hypot,
torch.i0,
torch.igamma,
torch.imag,
torch.index_select,
torch.inner,
torch.inverse,
torch.is_nonzero,
torch.is_tensor,
torch.isclose,
torch.isfinite,
torch.isinf,
torch.isnan,
torch.isneginf,
torch.isposinf,
torch.isreal,
torch.kron,
torch.kthvalue,
torch.lcm,
torch.le,
torch.lerp,
torch.lgamma,
torch.linspace,
torch.log,
torch.log10,
torch.log1p,
torch.log2,
torch.logaddexp,
torch.logaddexp2,
torch.logcumsumexp,
torch.logdet,
torch.logical_and,
torch.logical_not,
torch.logical_or,
torch.logical_xor,
torch.logit,
torch.logspace,
torch.logsumexp,
torch.lstsq,
torch.lt,
torch.lu,
torch.lu_solve,
torch.masked_select,
torch.matmul,
torch.matrix_exp,
torch.matrix_power,
torch.matrix_rank,
torch.max,
torch.maximum,
torch.mean,
torch.median,
torch.min,
torch.minimum,
torch.mm,
torch.mode,
torch.movedim,
torch.msort,
torch.mul,
torch.multinomial,
torch.mv,
torch.mvlgamma,
torch.nanmedian,
torch.nanquantile,
torch.nansum,
torch.narrow,
torch.ne,
torch.neg,
torch.nextafter,
torch.nn.AdaptiveAvgPool1d,
torch.nn.AdaptiveAvgPool2d,
torch.nn.AdaptiveAvgPool3d,
torch.nn.AdaptiveMaxPool1d,
torch.nn.AdaptiveMaxPool2d,
torch.nn.AdaptiveMaxPool3d,
torch.nn.AlphaDropout,
torch.nn.AvgPool1d,
torch.nn.AvgPool2d,
torch.nn.AvgPool3d,
torch.nn.BCELoss,
torch.nn.BCEWithLogitsLoss,
torch.nn.BatchNorm1d,
torch.nn.BatchNorm2d,
torch.nn.BatchNorm3d,
torch.nn.Bilinear,
torch.nn.CELU,
torch.nn.CTCLoss,
torch.nn.ConstantPad1d,
torch.nn.ConstantPad2d,
torch.nn.ConstantPad3d,
torch.nn.Conv1d,
torch.nn.Conv2d,
torch.nn.Conv3d,
torch.nn.ConvTranspose2d,
torch.nn.ConvTranspose3d,
torch.nn.CosineSimilarity,
torch.nn.CrossEntropyLoss,
torch.nn.Dropout,
torch.nn.Dropout2d,
torch.nn.Dropout3d,
torch.nn.ELU,
torch.nn.Embedding,
torch.nn.Flatten,
torch.nn.Fold,
torch.nn.FractionalMaxPool2d,
torch.nn.GELU,
torch.nn.GRU,
torch.nn.GRUCell,
torch.nn.GroupNorm,
torch.nn.Hardshrink,
torch.nn.Hardsigmoid,
torch.nn.Hardswish,
torch.nn.Hardtanh,
torch.nn.Identity,
torch.nn.InstanceNorm1d,
torch.nn.InstanceNorm2d,
torch.nn.InstanceNorm3d,
torch.nn.L1Loss,
torch.nn.LPPool1d,
torch.nn.LPPool2d,
torch.nn.LSTM,
torch.nn.LSTMCell,
torch.nn.LayerNorm,
torch.nn.LeakyReLU,
torch.nn.Linear,
torch.nn.LocalResponseNorm,
torch.nn.LogSigmoid,
torch.nn.LogSoftmax,
torch.nn.MSELoss,
torch.nn.MarginRankingLoss,
torch.nn.MaxPool1d,
torch.nn.MaxPool2d,
torch.nn.MaxPool3d,
torch.nn.MaxUnpool1d,
torch.nn.MaxUnpool2d,
torch.nn.MaxUnpool3d,
torch.nn.MultiLabelMarginLoss,
torch.nn.MultiLabelSoftMarginLoss,
torch.nn.MultiheadAttention,
torch.nn.NLLLoss,
torch.nn.PReLU,
torch.nn.PairwiseDistance,
torch.nn.PixelShuffle,
torch.nn.PoissonNLLLoss,
torch.nn.RNN,
torch.nn.RNNBase,
torch.nn.RNNCell,
torch.nn.RReLU,
torch.nn.ReLU,
torch.nn.ReLU6,
torch.nn.ReflectionPad1d,
torch.nn.ReflectionPad2d,
torch.nn.ReplicationPad1d,
torch.nn.ReplicationPad2d,
torch.nn.ReplicationPad3d,
torch.nn.SELU,
torch.nn.SiLU,
torch.nn.Sigmoid,
torch.nn.Softmax,
torch.nn.Softmax2d,
torch.nn.Softmin,
torch.nn.Softplus,
torch.nn.Softshrink,
torch.nn.Softsign,
torch.nn.Tanh,
torch.nn.Tanhshrink,
torch.nn.Threshold,
torch.nn.TransformerDecoderLayer,
torch.nn.TransformerEncoderLayer,
torch.nn.TripletMarginLoss,
torch.nn.Upsample,
torch.nn.UpsamplingBilinear2d,
torch.nn.UpsamplingNearest2d,
torch.nn.ZeroPad2d,
torch.nn.functional.adaptive_avg_pool1d,
torch.nn.functional.adaptive_avg_pool2d,
torch.nn.functional.adaptive_avg_pool3d,
torch.nn.functional.adaptive_max_pool1d,
torch.nn.functional.adaptive_max_pool2d,
torch.nn.functional.adaptive_max_pool3d,
torch.nn.functional.alpha_dropout,
torch.nn.functional.avg_pool1d,
torch.nn.functional.avg_pool2d,
torch.nn.functional.avg_pool3d,
torch.nn.functional.batch_norm,
torch.nn.functional.bilinear,
torch.nn.functional.binary_cross_entropy,
torch.nn.functional.binary_cross_entropy_with_logits,
torch.nn.functional.celu,
torch.nn.functional.conv1d,
torch.nn.functional.conv2d,
torch.nn.functional.conv3d,
torch.nn.functional.conv_transpose2d,
torch.nn.functional.conv_transpose3d,
torch.nn.functional.cosine_similarity,
torch.nn.functional.cross_entropy,
torch.nn.functional.ctc_loss,
torch.nn.functional.dropout,
torch.nn.functional.dropout2d,
torch.nn.functional.dropout3d,
torch.nn.functional.elu,
torch.nn.functional.elu_,
torch.nn.functional.embedding,
torch.nn.functional.embedding_bag,
torch.nn.functional.fold,
torch.nn.functional.gelu,
torch.nn.functional.hardshrink,
torch.nn.functional.hardsigmoid,
torch.nn.functional.hardswish,
torch.nn.functional.hardtanh,
torch.nn.functional.instance_norm,
torch.nn.functional.interpolate,
torch.nn.functional.l1_loss,
torch.nn.functional.layer_norm,
torch.nn.functional.leaky_relu,
torch.nn.functional.leaky_relu_,
torch.nn.functional.linear,
torch.nn.functional.local_response_norm,
torch.nn.functional.log_softmax,
torch.nn.functional.logsigmoid,
torch.nn.functional.lp_pool1d,
torch.nn.functional.lp_pool2d,
torch.nn.functional.margin_ranking_loss,
torch.nn.functional.max_pool1d,
torch.nn.functional.max_pool2d,
torch.nn.functional.max_pool3d,
torch.nn.functional.max_unpool1d,
torch.nn.functional.max_unpool2d,
torch.nn.functional.max_unpool3d,
torch.nn.functional.mse_loss,
torch.nn.functional.multilabel_margin_loss,
torch.nn.functional.multilabel_soft_margin_loss,
torch.nn.functional.nll_loss,
torch.nn.functional.normalize,
torch.nn.functional.pad,
torch.nn.functional.pairwise_distance,
torch.nn.functional.pixel_shuffle,
torch.nn.functional.poisson_nll_loss,
torch.nn.functional.prelu,
torch.nn.functional.relu,
torch.nn.functional.rrelu,
torch.nn.functional.rrelu_,
torch.nn.functional.selu,
torch.nn.functional.sigmoid,
torch.nn.functional.silu,
torch.nn.functional.softmax,
torch.nn.functional.softmin,
torch.nn.functional.softplus,
torch.nn.functional.softshrink,
torch.nn.functional.softsign,
torch.nn.functional.tanh,
torch.nn.functional.tanhshrink,
torch.nn.functional.threshold,
torch.nn.functional.triplet_margin_loss,
torch.nn.utils.clip_grad_norm_,
torch.nn.utils.rnn.pad_sequence,
torch.nonzero,
torch.norm,
torch.normal,
torch.numel,
torch.ones,
torch.ones_like,
torch.outer,
torch.pinverse,
torch.poisson,
torch.polar,
torch.polygamma,
torch.pow,
torch.prod,
torch.promote_types,
torch.qr,
torch.quantile,
torch.rad2deg,
torch.rand,
torch.rand_like,
torch.randint,
torch.randn,
torch.randn_like,
torch.randperm,
torch.range,
torch.ravel,
torch.real,
torch.reciprocal,
torch.remainder,
torch.renorm,
torch.repeat_interleave,
torch.reshape,
torch.result_type,
torch.roll,
torch.rot90,
torch.round,
torch.rsqrt,
torch.save,
torch.scatter,
torch.scatter_add,
torch.searchsorted,
torch.set_default_dtype,
torch.set_flush_denormal,
torch.set_num_threads,
torch.sgn,
torch.sigmoid,
torch.sign,
torch.signbit,
torch.sin,
torch.sinh,
torch.slogdet,
torch.solve,
torch.sort,
torch.sparse_coo_tensor,
torch.split,
torch.sqrt,
torch.square,
torch.squeeze,
torch.stack,
torch.std,
torch.std_mean,
torch.sub,
torch.sum,
torch.svd,
torch.swapaxes,
torch.swapdims,
torch.symeig,
torch.t,
torch.take,
torch.tan,
torch.tanh,
torch.tensor_split,
torch.tensordot,
torch.topk,
torch.trace,
torch.transpose,
torch.trapz,
torch.triangular_solve,
torch.tril,
torch.tril_indices,
torch.triu,
torch.triu_indices,
torch.true_divide,
torch.trunc,
torch.unbind,
torch.unique,
torch.unique_consecutive,
torch.unsqueeze,
torch.use_deterministic_algorithms,
torch.vander,
torch.var,
torch.var_mean,
torch.vdot,
torch.view_as_complex,
torch.view_as_real,
torch.vstack,
torch.where,
torch.xlogy,
torch.zeros,
torch.zeros_like,
